Website Region,Period,Rate
Goldfields-Esperance District,2020-05-01,-12.9
Great Southern District,2020-05-01,-3.3
Kimberley District,2020-05-01,47.4
Metropolitan Region,2020-05-01,-7.5
Mid West-Gascoyne District,2020-05-01,-52.4
Pilbara District,2020-05-01,-4.8
South West District,2020-05-01,36.2
Western Australia,2020-05-01,-4.7
Wheatbelt District,2020-05-01,-27.2
