Website Region,Period,Rate
Goldfields-Esperance District,2020-05-01,-356.9
Great Southern District,2020-05-01,-157.4
Kimberley District,2020-05-01,-534.8
Metropolitan Region,2020-05-01,-242.3
Mid West-Gascoyne District,2020-05-01,-532.3
Pilbara District,2020-05-01,-56.4
South West District,2020-05-01,-26.7
Western Australia,2020-05-01,-204.9
Wheatbelt District,2020-05-01,62.6
