Website Region,Period,Rate
Goldfields-Esperance District,2020-07-01,18.39486415392821
Great Southern District,2020-07-01,-14.75579164822193
Kimberley District,2020-07-01,-50.13787916771116
Metropolitan Region,2020-07-01,1.6842105263157805
Mid West-Gascoyne District,2020-07-01,-4.767050149367577
Pilbara District,2020-07-01,-75.69291224453639
South West District,2020-07-01,-6.118215038572572
Western Australia,2020-07-01,-1.3140303525994028
Wheatbelt District,2020-07-01,14.978825387747321
