Website Region,Period,Rate
Goldfields-Esperance District,2020-07-01,198.66453286242484
Great Southern District,2020-07-01,-65.58129621431976
Kimberley District,2020-07-01,-128.13013565081746
Metropolitan Region,2020-07-01,-47.78947368421041
Mid West-Gascoyne District,2020-07-01,-131.88838746583622
Pilbara District,2020-07-01,-119.17607459778071
South West District,2020-07-01,-81.76160097001508
Western Australia,2020-07-01,-42.12405873190062
Wheatbelt District,2020-07-01,92.59637512425621
