Website Region,Period,Rate
Goldfields-Esperance District,2020-04-01,-22.59
Great Southern District,2020-04-01,-25.54
Kimberley District,2020-04-01,-34.28
Mandurah District,2020-04-01,-18.33
Metropolitan Region,2020-04-01,-23.76
Mid West-Gascoyne District,2020-04-01,-17.24
Pilbara District,2020-04-01,-11.41
South West District,2020-04-01,-12.14
Wheatbelt District,2020-04-01,-21.34
