Website Region,Period,Rate
Goldfields-Esperance District,2020-07-01,20.65
Great Southern District,2020-07-01,-8.62
Kimberley District,2020-07-01,-6.06
Mid West-Gascoyne District,2020-07-01,-12.75
Pilbara District,2020-07-01,-11.73
South West District,2020-07-01,-14.85
Wheatbelt District,2020-07-01,18.18
