Website Region,Period,Rate
Goldfields-Esperance District,2020-04-01,-6.38
Great Southern District,2020-04-01,-7.25
Kimberley District,2020-04-01,-20.08
Mandurah District,2020-04-01,-15.71
Metropolitan Region,2020-04-01,-6.88
Mid West-Gascoyne District,2020-04-01,10.77
Pilbara District,2020-04-01,-10.27
South West District,2020-04-01,6.86
Wheatbelt District,2020-04-01,-9.52
